program_short,program_name,affiliation_short,affiliation_name
OFC,Oilfield Chemistry,CIPR,Center for Integrative Petroleum Research
MMM,Multiscale and Multiphysics Modeling,CIPR,Center for Integrative Petroleum Research
PRP,Petrophysics & Rock Physics,CIPR,Center for Integrative Petroleum Research
GP,Geophysics,CIPR,Center for Integrative Petroleum Research
GS,Geosystems,CIPR,Center for Integrative Petroleum Research
GM,Geomechanics,CIPR,Center for Integrative Petroleum Research
DA,Data Analytics,CIPR,Center for Integrative Petroleum Research
INT,Integrative Members,PETE,Petroleum Engineering
,,GEOL,Geosciences
,,MINI,Mining Science and Engineering
,,MATH,Mathematics
,,CIVIL,Civil and Environmental Engineering
,,CHEM,Chemical Engineering
,,ME,Mechanical Engineering
